"","name","itemLevel","upgradeLvl","bind","hand","type","damageLow","damageHigh","speed","dps","orOption","agility","critStrike","haste","intellect","mastery","stamina","strength","versatility","durability","reqLvl","sellPriceGold","sellPriceSilver","sellPriceCopper","side","expansion","patchNum"
"22","Oscillating Power Hammer","29",NA,"Binds when equipped","One-Hand","Mace","22","29","2.60","9.90",NA,NA,NA,NA,NA,NA,"3","5",NA,"90",24,NA,"48","61",NA,"Classic","1.11.1"
"23","Beazel's Basher","29",NA,"Binds when equipped","One-Hand","Mace","22","29","2.60","9.90",NA,NA,NA,"2",NA,NA,NA,"5",NA,"90",24,NA,"48","63",NA,"Classic","1.11.1"
"24","Manual Crowd Pummeler","29",NA,"Binds when picked up","Two-Hand","Mace","40","52","3.60","12.79",NA,NA,NA,NA,NA,NA,"12","8",NA,"100",24,NA,"59","38",NA,"Classic","1.11.1"
"25","Electrocutioner Leg","29",NA,"Binds when picked up","One-Hand","Sword","19","32","2.60","9.86",NA,NA,NA,NA,NA,NA,"5",NA,NA,"90",24,NA,"46","96",NA,"Classic","1.11.1"
"26","Short Cutlass","29",NA,NA,"Main Hand","Sword","9","16","2.60","4.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",24,NA,"15","63",NA,"Classic","1.11.1"
"27","Gizmotron Megachopper","29",NA,"Binds when equipped","Two-Hand","Sword","34","57","3.60","12.69",NA,"10",NA,NA,NA,NA,"10",NA,NA,"100",24,NA,"61","21",NA,"Classic","1.11.1"
"28","Black Metal Greatsword","29",NA,"Binds when equipped","Two-Hand","Sword","28","48","3.60","10.63",NA,NA,NA,NA,NA,NA,"7","7",NA,"85",24,NA,"48","69",NA,"Classic","1.11.1"
"29","Hydrocane","29",NA,"Binds when picked up","Two-Hand","Staff","38","53","3.60","12.77",NA,"8","6","4",NA,NA,"12",NA,NA,"100",24,NA,"61","68",NA,"Classic","1.11.1"
"30","Magician Staff","29",NA,"Binds when equipped","Two-Hand","Staff","32","44","3.60","10.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",24,NA,"50","59",NA,"Classic","1.11.1"
"31","Toxic Revenger","29",NA,"Binds when picked up","One-Hand","Dagger","13","22","1.80","9.82",NA,"3",NA,NA,NA,NA,"5",NA,NA,"65",24,NA,"49","52",NA,"Classic","1.11.1"
"32","Bangalash's Claw","29",NA,"Binds when picked up","One-Hand","Dagger","13","22","1.80","9.82",NA,"4","2",NA,NA,NA,"3",NA,NA,"65",24,NA,"49","85",NA,"Cataclysm","4.0.3"
"33","Flesh Piercer","29",NA,"Binds when equipped","One-Hand","Dagger","11","18","1.80","8.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",24,NA,"39","86",NA,"Classic","1.11.1"
"34","Deft Stiletto","29",NA,NA,"One-Hand","Dagger","6","11","1.80","4.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55",24,NA,"15","64",NA,"Classic","1.11.1"
"35","Firestarter","29",NA,"Binds when equipped","Ranged","Wand","6","10","2.00","4.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",24,NA,"49","12",NA,"Classic","1.11.1"
"36","Stone Etcher","29",NA,"Binds when picked up","Ranged","Wand","6","10","2.00","4.04",NA,NA,NA,NA,"3",NA,"4",NA,NA,"75",24,NA,"51","18","Horde","Cataclysm","4.0.3"
"37","Supercharger Battle Axe","29",NA,"Binds when equipped","Two-Hand","Axe","29","62","3.60","12.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",24,NA,"60","31",NA,"Classic","1.11.1"
"38","Callous Axe","29",NA,"Binds when equipped","One-Hand","Axe","13","29","2.60","8.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",24,NA,"40","94",NA,"Classic","1.11.1"
"39","Tunnel Pick","29",NA,"Binds when equipped","Two-Hand","Axe","24","51","3.60","10.52",NA,"7",NA,NA,NA,NA,"7",NA,NA,"85",24,NA,"49","63",NA,"Classic","1.11.1"
"40","Bhag'thera's Roar","28",NA,"Binds when picked up","Ranged","Gun","21","40","3.00","10.23",NA,"7",NA,NA,NA,NA,"7",NA,NA,"80",24,NA,"44","65",NA,"Cataclysm","4.0.3"
"41","Long Bastard Sword","28",NA,NA,"Two-Hand","Sword","16","28","3.60","6.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",23,NA,"17","83",NA,"Classic","1.11.1"
"42","Tethis' Skull","28",NA,"Binds when picked up","One-Hand","Mace","18","23","2.60","7.89",NA,NA,NA,NA,NA,NA,NA,NA,"4","70",24,NA,"35","86",NA,"Cataclysm","4.0.3"
"43","Sin'Dall's Femur","28",NA,"Binds when picked up","One-Hand","Mace","18","23","2.60","7.89",NA,"3",NA,NA,NA,NA,"2",NA,NA,"70",24,NA,"36","27",NA,"Cataclysm","4.0.3"
"44","Bulky Bludgeon","28",NA,NA,"Main Hand","Mace","10","14","2.60","4.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",23,NA,"15","48",NA,"Classic","1.11.1"
"45","Dense Triangle Mace","28",NA,"Binds when equipped","Two-Hand","Mace","38","50","3.60","12.33",NA,NA,NA,NA,NA,NA,"9","9",NA,"95",23,NA,"54","36",NA,"Classic","1.11.1"
"46","Bloodpike","28",NA,"Binds when equipped","Two-Hand","Polearm","31","58","3.60","12.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95",23,NA,"53","82",NA,"Classic","1.11.1"
"47","Dragonmaw Shortsword","28",NA,"Binds when equipped","One-Hand","Sword","15","26","2.60","7.97",NA,NA,NA,NA,NA,NA,"4",NA,NA,"70",23,NA,"38","42",NA,"Classic","1.11.1"
"48","Cavalier Two-Hander","28",NA,"Binds when equipped","Two-Hand","Sword","27","46","3.60","10.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",23,NA,"45","82",NA,"Classic","1.11.1"
"49","Stiff Recurve Bow","28",NA,NA,"Ranged","Bow","15","21","3.00","6.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",23,NA,"17","70",NA,"Classic","1.11.1"
"50","Oaken War Staff","28",NA,NA,"Two-Hand","Staff","18","25","3.60","6.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",23,NA,"17","90",NA,"Classic","1.11.1"
"51","Cross Dagger","28",NA,"Binds when equipped","One-Hand","Dagger","10","18","1.80","7.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",23,NA,"38","30",NA,"Classic","1.11.1"
"52","Black Metal War Axe","28",NA,"Binds when equipped","Two-Hand","Axe","23","50","3.60","10.26",NA,NA,NA,NA,NA,NA,NA,"10",NA,"80",23,NA,"44","43",NA,"Classic","1.11.1"
"53","Barbarian War Axe","28",NA,"Binds when equipped","Two-Hand","Axe","23","50","3.60","10.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",23,NA,"44","96",NA,"Classic","1.11.1"
"54","Iridescent Hammer","28",NA,"Binds when equipped","One-Hand","Mace","18","23","2.60","7.89",NA,NA,"3",NA,NA,NA,NA,NA,NA,"70",23,NA,"36","93",NA,"Classic","1.11.1"
"55","Kam's Walking Stick","27",NA,"Binds when picked up","Two-Hand","Staff","36","49","3.60","11.88",NA,NA,NA,NA,"9",NA,"14",NA,NA,"95",22,NA,"48","28",NA,"Classic","1.11.1"
"56","Heavy Ogre War Axe","27",NA,"Binds when equipped","Two-Hand","Axe","22","48","3.60","9.85",NA,NA,NA,NA,NA,NA,"5","7",NA,"80",22,NA,"41","33",NA,"Classic","1.11.1"
"57","Stone War Axe","27",NA,NA,"Two-Hand","Axe","13","29","3.60","5.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",22,NA,"16","9",NA,"Classic","1.11.1"
"58","Precision Bow","27",NA,"Binds when equipped","Ranged","Bow","24","34","3.00","9.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",22,NA,"40","44",NA,"Classic","1.11.1"
"59","Silent Huntress","27",NA,"Binds when picked up","Ranged","Bow","24","34","3.00","9.83",NA,"7",NA,NA,NA,NA,"6",NA,NA,"60",25,NA,"43","54","Horde","Cataclysm","4.0.3"
"60","Double-Barreled Shotgun","27",NA,"Binds when equipped","Ranged","Gun","25","47","3.00","12.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95",22,NA,"50","35",NA,"Classic","1.11.1"
"61","Fish Stunner","27",NA,"Binds when picked up","One-Hand","Mace","17","22","2.60","7.56",NA,NA,NA,NA,"4",NA,NA,NA,NA,"70",25,NA,"33","45","Alliance","Cataclysm","4.0.3"
"62","Meat Cleaver","27",NA,NA,"Main Hand","Axe","7","16","2.60","4.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",22,NA,"12","82",NA,"Classic","1.11.1"
"63","Highland Mace","27",NA,"Binds when picked up","Two-Hand","Mace","30","40","3.60","9.84",NA,"8",NA,NA,NA,NA,"5",NA,NA,"80",24,NA,"41","19","Alliance","Cataclysm","4.0.3"
"64","Grim Mace","27",NA,"Binds when picked up","Two-Hand","Mace","30","40","3.60","9.84",NA,"5",NA,NA,NA,NA,"7",NA,NA,"80",25,NA,"43","8","Horde","Cataclysm","4.0.3"
"65","Rock Maul","27",NA,NA,"Two-Hand","Mace","18","24","3.60","5.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",22,NA,"17","65",NA,"Classic","1.11.1"
"66","Heavy Marauder Scimitar","27",NA,"Binds when equipped","One-Hand","Sword","18","30","2.60","9.25",NA,NA,NA,NA,NA,NA,"3","4",NA,"85",22,NA,"39","22",NA,"Classic","1.11.1"
"67","Sword of Corruption","27",NA,"Binds when equipped","One-Hand","Sword","18","30","2.60","9.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",22,NA,"41","38",NA,"Classic","1.11.1"
"68","Skeletal Longsword","27",NA,"Binds when equipped","One-Hand","Sword","14","25","2.60","7.66",NA,NA,NA,NA,NA,NA,"4",NA,NA,"70",22,NA,"32","69",NA,"Classic","1.11.1"
"69","Fighter Broadsword","27",NA,"Binds when equipped","One-Hand","Sword","14","25","2.60","7.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",22,NA,"34","50",NA,"Classic","1.11.1"
"70","Bronze Battle Axe","27",NA,"Binds when equipped","Two-Hand","Axe","22","48","3.60","9.85",NA,NA,NA,NA,NA,NA,NA,"10",NA,"80",22,NA,"40","59",NA,"Classic","1.11.1"
"71","Dwarven Magestaff","27",NA,"Binds when equipped","Two-Hand","Staff","29","41","3.60","9.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",22,NA,"44","14",NA,"Classic","1.11.1"
"72","Ogremage Staff","27",NA,"Binds when equipped","Two-Hand","Staff","29","41","3.60","9.86",NA,NA,NA,NA,NA,NA,NA,"11",NA,"80",22,NA,"41","17",NA,"Classic","1.11.1"
"73","Naraxis' Fang","27",NA,"Binds when equipped","One-Hand","Dagger","10","17","1.80","7.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",22,NA,"33","32",NA,"Classic","1.11.1"
"74","Talongrip Dagger","27",NA,"Binds when picked up","One-Hand","Dagger","10","17","1.80","7.58",NA,"3","2",NA,NA,NA,"2",NA,NA,"50",25,NA,"33","94","Horde","Cataclysm","4.0.3"
"75","Craig's Steel","27",NA,"Binds when picked up","One-Hand","Dagger","10","17","1.80","7.58",NA,NA,NA,"4",NA,NA,NA,NA,NA,"50",25,NA,"32","83","Horde","Cataclysm","4.0.3"
"76","Craig's Steel","27",NA,"Binds when picked up","One-Hand","Dagger","10","17","1.80","7.58",NA,NA,NA,"4",NA,NA,NA,NA,NA,"50",24,NA,"33","45","Alliance","Cataclysm","4.0.3"
"77","Skullslasher","27",NA,"Binds when picked up","One-Hand","Dagger","10","17","1.80","7.58",NA,"3",NA,NA,NA,NA,"3",NA,NA,"50",25,NA,"34","71","Horde","Cataclysm","4.0.3"
"78","Deadly Throwing Axe","27",NA,NA,"Thrown","Thrown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",22,NA,NA,"50",NA,"The Burning Crusade","2.0.1"
"79","Heavy Throwing Dagger","27",NA,NA,"Thrown","Thrown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",22,NA,NA,"50",NA,"The Burning Crusade","2.0.1"
"80","Steelarrow Crossbow","27",NA,"Binds when equipped","Ranged","Crossbow","23","35","3.00","9.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60",22,NA,"42","44",NA,"Classic","1.11.1"
"81","Thunderwood","27",NA,"Binds when equipped","Ranged","Wand","6","12","2.00","4.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,"85",22,NA,"49","86",NA,"Classic","1.11.1"
"82","Windshear Axe","27",NA,"Binds when picked up","One-Hand","Axe","12","27","2.60","7.67",NA,NA,NA,NA,NA,NA,"3","2",NA,"70",25,NA,"34","8","Alliance","Cataclysm","4.0.3"
"83","Blurred Axe","27",NA,"Binds when equipped","One-Hand","Axe","12","27","2.60","7.67",NA,"4",NA,NA,NA,NA,NA,NA,NA,"70",22,NA,"33","71",NA,"Classic","1.11.1"
"84","Kazon's Maul","27",NA,"Binds when equipped","Two-Hand","Mace","30","40","3.60","9.84",NA,NA,NA,NA,NA,NA,"4","8",NA,"80",22,NA,"41","97",NA,"Classic","1.11.1"
"85","Killmaim","26",NA,"Binds when equipped","Two-Hand","Axe","27","56","3.60","11.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,"95",21,NA,"47","71",NA,"Classic","1.11.1"
"86","Silver-Plated Shotgun","26",NA,"Binds when equipped","Ranged","Gun","19","37","3.00","9.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",21,NA,"39","29",NA,"Classic","1.11.1"
"87","BKP 2700 ""Enforcer""","26",NA,NA,"Ranged","Gun","17","33","3.00","8.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",21,NA,"23","66",NA,"Classic","1.11.1"
"88","Maul","26",NA,NA,"Two-Hand","Mace","26","35","3.60","8.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",21,NA,"21","94",NA,"Classic","1.11.1"
"89","Twisted Sabre","26",NA,"Binds when equipped","One-Hand","Sword","17","29","2.60","8.96",NA,NA,NA,NA,NA,NA,"2",NA,"5","85",21,NA,"38","40",NA,"Classic","1.11.1"
"90","Black Metal Shortsword","26",NA,"Binds when equipped","One-Hand","Sword","14","24","2.60","7.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",21,NA,"29","49",NA,"Classic","1.11.1"
"91","Emerine's Blade","26",NA,"Binds when picked up","One-Hand","Sword","14","24","2.60","7.35",NA,NA,NA,NA,"3",NA,"2",NA,NA,"70",24,NA,"29","85","Alliance","Cataclysm","4.0.3"
"92","Blade of Exotic Magic","26",NA,"Binds when picked up","One-Hand","Sword","14","24","2.60","7.35",NA,NA,NA,NA,"3",NA,"2",NA,NA,"70",24,NA,"32","1","Horde","Cataclysm","4.0.3"
"93","Longsword","26",NA,NA,"Main Hand","Sword","12","22","2.60","6.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",21,NA,"17","48",NA,"Classic","1.11.1"
"94","Guardian Blade","26",NA,"Binds when equipped","Two-Hand","Sword","31","52","3.60","11.57",NA,NA,NA,NA,NA,NA,NA,NA,"1","95",21,NA,"45","16",NA,"Classic","1.11.1"
"95","Bronze Greatsword","26",NA,"Binds when equipped","Two-Hand","Sword","25","42","3.60","9.35",NA,"7","2",NA,NA,NA,"4",NA,NA,"80",21,NA,"36","76",NA,"Classic","1.11.1"
"96","Polished Zweihander","26",NA,"Binds when equipped","Two-Hand","Sword","25","42","3.60","9.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",21,NA,"38","77",NA,"Classic","1.11.1"
"97","Dacian Falx","26",NA,NA,"Two-Hand","Sword","23","39","3.60","8.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",21,NA,"24","7",NA,"Classic","1.11.1"
"98","Marauder Axe","26",NA,"Binds when equipped","One-Hand","Axe","12","26","2.60","7.37",NA,NA,NA,NA,NA,NA,"4",NA,NA,"70",21,NA,"30","87",NA,"Classic","1.11.1"
"99","Stonetalon Defender's Staff","26",NA,"Binds when picked up","Two-Hand","Staff","28","39","3.60","9.41",NA,"5",NA,NA,NA,NA,"7",NA,NA,"80",24,NA,"39","43","Alliance","Cataclysm","4.0.3"
"100","Iron Knuckles","26",NA,"Binds when picked up","One-Hand","Fist Weapon","19","28","2.60","9.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60",21,NA,"36","63",NA,"Classic","1.11.1"
"101","Prison Shank","26",NA,"Binds when picked up","One-Hand","Dagger","12","20","1.80","8.94",NA,"5",NA,NA,NA,NA,"2",NA,NA,"60",21,NA,"35","52",NA,"Classic","1.11.1"
"102","Blackvenom Blade","26",NA,"Binds when equipped","One-Hand","Dagger","12","20","1.80","8.94",NA,"8",NA,NA,NA,NA,NA,NA,NA,"60",21,NA,"35","94",NA,"Classic","1.11.1"
"103","Wyvern Tailspike","26",NA,"Binds when equipped","One-Hand","Dagger","9","16","1.80","7.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",21,NA,"31","9",NA,"Classic","1.11.1"
"104","Battle Knife","26",NA,"Binds when equipped","One-Hand","Dagger","9","16","1.80","7.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",21,NA,"30","12",NA,"Classic","1.11.1"
"105","Dire Wand","26",NA,"Binds when equipped","Ranged","Wand","5","9","2.00","3.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70",21,NA,"37","18",NA,"Classic","1.11.1"
"106","Wand of Bought Time","26",NA,"Binds when picked up","Ranged","Wand","5","9","2.00","3.62",NA,NA,NA,NA,"3",NA,"2",NA,NA,"50",24,NA,"39","58","Alliance","Cataclysm","4.0.3"
"107","Gyromatic Axe","26",NA,"Binds when picked up","One-Hand","Axe","12","26","2.60","7.37",NA,"2",NA,NA,NA,NA,"3",NA,NA,"70",24,NA,"29","26","Alliance","Cataclysm","4.0.3"
"108","Cryptbone Staff","26",NA,"Binds when equipped","Two-Hand","Staff","28","39","3.60","9.41",NA,NA,"4","4","6",NA,NA,NA,NA,"80",21,NA,"36","44",NA,"Classic","1.11.1"
"109","Grimclaw","25",NA,"Binds when equipped","One-Hand","Axe","14","31","2.60","8.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80",20,NA,"33","37",NA,"Classic","1.11.1"
"110","Ridge Cleaver","25",NA,"Binds when equipped","One-Hand","Axe","11","24","2.60","6.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",20,NA,"27","55",NA,"Classic","1.11.1"
"111","Cold Iron Pick","25",NA,"Binds when picked up","Two-Hand","Axe","26","55","3.60","11.30",NA,NA,"4","5",NA,NA,"10","7",NA,"90",20,NA,"42","61",NA,"Classic","1.11.1"
"112","Reef Axe","25",NA,"Binds when picked up","Two-Hand","Axe","26","55","3.60","11.30",NA,NA,NA,NA,NA,NA,"7","10",NA,"90",20,NA,"38","72",NA,"Classic","1.11.1"
"113","Slayer's Battle Axe","25",NA,"Binds when equipped","Two-Hand","Axe","20","44","3.60","9.03",NA,"5",NA,NA,NA,NA,NA,"6",NA,"75",20,NA,"33","87",NA,"Classic","1.11.1"
"114","Battle Axe","25",NA,NA,"Two-Hand","Axe","19","40","3.60","8.20",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",20,NA,"19","57",NA,"Classic","1.11.1"
"115","Ranger Bow","25",NA,"Binds when equipped","Ranged","Bow","28","39","3.00","11.29",NA,"3",NA,NA,NA,NA,NA,NA,NA,"90",20,NA,"40","35",NA,"Classic","1.11.1"
"116","Naga Heartpiercer","25",NA,"Binds when picked up","Ranged","Bow","28","39","3.00","11.29",NA,"13",NA,NA,NA,NA,NA,NA,NA,"90",20,NA,"40","96",NA,"Classic","1.11.1"
"117","Heavy Recurve Bow","25",NA,NA,"Ranged","Bow","20","28","3.00","8.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",20,NA,"21","16",NA,"Classic","1.11.1"
"118","Diamond Hammer","25",NA,"Binds when equipped","One-Hand","Mace","19","26","2.60","8.83",NA,NA,NA,NA,NA,NA,"4","3",NA,"80",20,NA,"32","76",NA,"Classic","1.11.1"
"119","Crested Scepter","25",NA,"Binds when equipped","One-Hand","Mace","19","26","2.60","8.83",NA,NA,NA,NA,"5",NA,"3",NA,NA,"80",20,NA,"32","41",NA,"Classic","1.11.1"
"120","Discontinuer's Hammer","25",NA,"Binds when picked up","One-Hand","Mace","19","26","2.60","8.83",NA,NA,NA,NA,"3",NA,"4",NA,"3","80",23,NA,"32","82","Horde","Cataclysm","4.0.3"
"121","Wicked Spiked Mace","25",NA,"Binds when equipped","One-Hand","Mace","15","20","2.60","6.90",NA,"4",NA,NA,NA,NA,NA,NA,NA,"65",20,NA,"28","21",NA,"Classic","1.11.1"
"122","Heavy Bronze Mace","25",NA,"Binds when equipped","One-Hand","Mace","15","20","2.60","6.90",NA,NA,NA,NA,NA,NA,NA,"4",NA,"65",20,NA,"27","41",NA,"Classic","1.11.1"
"123","Steelscale Crushfish","25",NA,"Binds when equipped","One-Hand","Mace","15","20","2.60","6.90",NA,NA,NA,NA,NA,NA,NA,"4",NA,"65",20,NA,"25","81",NA,"Classic","1.11.1"
"124","Battlesmasher","25",NA,"Binds when equipped","One-Hand","Mace","15","20","2.60","6.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",20,NA,"26","95",NA,"Classic","1.11.1"
"125","Flail","25",NA,NA,"Main Hand","Mace","14","19","2.60","6.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65",20,NA,"15","59",NA,"Classic","1.11.1"
"126","Yetimus Maximus","25",NA,"Binds when picked up","Two-Hand","Mace","35","46","3.60","11.32",NA,NA,"6",NA,NA,NA,"9","6",NA,"90",21,NA,"40","10","Horde","Cataclysm","4.0.3"
"127","Ironwood Treebranch","25",NA,"Binds when equipped","Two-Hand","Mace","28","36","3.60","8.92",NA,NA,NA,NA,NA,NA,"2","8",NA,"75",20,NA,"33","24",NA,"Classic","1.11.1"
"128","Bronze Warhammer","25",NA,"Binds when equipped","Two-Hand","Mace","28","36","3.60","8.92",NA,NA,NA,NA,NA,NA,"3","8",NA,"75",20,NA,"32","40",NA,"Classic","1.11.1"
"129","Hefty Battlehammer","25",NA,"Binds when equipped","Two-Hand","Mace","28","36","3.60","8.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",20,NA,"33","6",NA,"Classic","1.11.1"
"130","Short Spear","25",NA,NA,"Two-Hand","Polearm","20","38","3.60","8.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",20,NA,"20","29",NA,"Classic","1.11.1"
"131","Pitchfork","25",NA,NA,"Two-Hand","Polearm","13","25","3.60","5.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"75",20,NA,"14","10",NA,"Classic","1.11.1"
"132","Darkwater Talwar","25",NA,"Binds when picked up","One-Hand","Sword","17","28","2.60","8.67",NA,NA,NA,NA,NA,NA,NA,"4",NA,"80",20,NA,"31","23",NA,"Classic","1.11.1"
